image_path,card_name,card_number,card_set
dataset/POP Series 5/POP Series 5_Double Rainbow Energy_4.jpg,Double Rainbow Energy,4,POP Series 5
dataset/POP Series 4/POP Series 4_Pokémon Fan Club_9.jpg,Pokémon Fan Club,9,POP Series 4
dataset/DP Black Star Promos/DP Black Star Promos_Tropical Wind_DP05.jpg,Tropical Wind,DP05,DP Black Star Promos
dataset/POP Series 4/POP Series 4_Heal Energy_8.jpg,Heal Energy,8,POP Series 4
dataset/POP Series 3/POP Series 3_High Pressure System_10.jpg,High Pressure System,10,POP Series 3
dataset/POP Series 5/POP Series 5_Rare Candy_7.jpg,Rare Candy,7,POP Series 5
dataset/POP Series 5/POP Series 5_δ Rainbow Energy_9.jpg,δ Rainbow Energy,9,POP Series 5
dataset/POP Series 3/POP Series 3_Low Pressure System_11.jpg,Low Pressure System,11,POP Series 3
dataset/POP Series 5/POP Series 5_Boost Energy_8.jpg,Boost Energy,8,POP Series 5
dataset/POP Series 2/POP Series 2_Mr. Briney's Compassion_8.jpg,Mr. Briney's Compassion,8,POP Series 2
dataset/POP Series 2/POP Series 2_Pokémon Park_10.jpg,Pokémon Park,10,POP Series 2
dataset/Gym Challenge/Gym Challenge_Giovanni_18.jpg,Giovanni,18,Gym Challenge
dataset/Gym Challenge/Gym Challenge_Blaine_17.jpg,Blaine,17,Gym Challenge
dataset/Dragon Vault/Dragon Vault_Exp. Share_18.jpg,Exp. Share,18,Dragon Vault
dataset/Gym Heroes/Gym Heroes_Erika_16.jpg,Erika,16,Gym Heroes
dataset/POP Series 8/POP Series 8_Rare Candy_10.jpg,Rare Candy,10,POP Series 8
dataset/Gym Heroes/Gym Heroes_Brock_15.jpg,Brock,15,Gym Heroes
dataset/POP Series 8/POP Series 8_Night Maintenance_9.jpg,Night Maintenance,9,POP Series 8
dataset/Dragon Vault/Dragon Vault_First Ticket_19.jpg,First Ticket,19,Dragon Vault
dataset/Dragon Vault/Dragon Vault_Super Rod_20.jpg,Super Rod,20,Dragon Vault
dataset/POP Series 2/POP Series 2_TV Reporter_11.jpg,TV Reporter,11,POP Series 2
dataset/Gym Challenge/Gym Challenge_Sabrina_20.jpg,Sabrina,20,Gym Challenge
dataset/Neo Destiny/Neo Destiny_Miracle Energy_16.jpg,Miracle Energy,16,Neo Destiny
dataset/POP Series 8/POP Series 8_Roseanne's Research_11.jpg,Roseanne's Research,11,POP Series 8
dataset/Team Rocket/Team Rocket_Here Comes Team Rocket!_15.jpg,Here Comes Team Rocket!,15,Team Rocket
dataset/Gym Challenge/Gym Challenge_Koga_19.jpg,Koga,19,Gym Challenge
dataset/Gym Heroes/Gym Heroes_Lt. Surge_17.jpg,Lt. Surge,17,Gym Heroes
dataset/Team Rocket/Team Rocket_Rocket's Sneak Attack_16.jpg,Rocket's Sneak Attack,16,Team Rocket
dataset/Gym Heroes/Gym Heroes_Misty_18.jpg,Misty,18,Gym Heroes
dataset/Team Rocket/Team Rocket_Rainbow Energy_17.jpg,Rainbow Energy,17,Team Rocket
dataset/POP Series 4/POP Series 4_Scramble Energy_10.jpg,Scramble Energy,10,POP Series 4
dataset/POP Series 5/POP Series 5_Bill's Maintenance_6.jpg,Bill's Maintenance,6,POP Series 5
dataset/DP Black Star Promos/DP Black Star Promos_Tropical Wind_DP25.jpg,Tropical Wind,DP25,DP Black Star Promos
dataset/Neo Genesis/Neo Genesis_Metal Energy_19.jpg,Metal Energy,19,Neo Genesis
dataset/HGSS Black Star Promos/HGSS Black Star Promos_Tropical Tidal Wave_HGSS18.jpg,Tropical Tidal Wave,HGSS18,HGSS Black Star Promos
dataset/Double Crisis/Double Crisis_Team Aqua Admin_25.jpg,Team Aqua Admin,25,Double Crisis
dataset/Nintendo Black Star Promos/Nintendo Black Star Promos_Tropical Wind_26.jpg,Tropical Wind,26,Nintendo Black Star Promos
dataset/Nintendo Black Star Promos/Nintendo Black Star Promos_Tropical Tidal Wave_27.jpg,Tropical Tidal Wave,27,Nintendo Black Star Promos
dataset/Double Crisis/Double Crisis_Team Aqua Grunt_26.jpg,Team Aqua Grunt,26,Double Crisis
dataset/Double Crisis/Double Crisis_Team Aqua's Great Ball_27.jpg,Team Aqua's Great Ball,27,Double Crisis
dataset/Double Crisis/Double Crisis_Team Aqua's Secret Base_28.jpg,Team Aqua's Secret Base,28,Double Crisis
dataset/XY Black Star Promos/XY Black Star Promos_Champions Festival_XY27.jpg,Champions Festival,XY27,XY Black Star Promos
dataset/BW Black Star Promos/BW Black Star Promos_Tropical Beach_BW28.jpg,Tropical Beach,BW28,BW Black Star Promos
dataset/Nintendo Black Star Promos/Nintendo Black Star Promos_Championship Arena_28.jpg,Championship Arena,28,Nintendo Black Star Promos
dataset/Double Crisis/Double Crisis_Team Magma's Great Ball_31.jpg,Team Magma's Great Ball,31,Double Crisis
dataset/Double Crisis/Double Crisis_Team Magma Admin_29.jpg,Team Magma Admin,29,Double Crisis
dataset/Double Crisis/Double Crisis_Team Magma Grunt_30.jpg,Team Magma Grunt,30,Double Crisis
dataset/Double Crisis/Double Crisis_Team Magma's Secret Base_32.jpg,Team Magma's Secret Base,32,Double Crisis
dataset/BW Black Star Promos/BW Black Star Promos_Victory Cup_BW29.jpg,Victory Cup,BW29,BW Black Star Promos
dataset/BW Black Star Promos/BW Black Star Promos_Victory Cup_BW30.jpg,Victory Cup,BW30,BW Black Star Promos
dataset/Kalos Starter Set/Kalos Starter Set_Crushing Hammer_34.jpg,Crushing Hammer,34,Kalos Starter Set
dataset/Double Crisis/Double Crisis_Double Aqua Energy_33.jpg,Double Aqua Energy,33,Double Crisis
dataset/BW Black Star Promos/BW Black Star Promos_Victory Cup_BW31.jpg,Victory Cup,BW31,BW Black Star Promos
dataset/Nintendo Black Star Promos/Nintendo Black Star Promos_Tropical Tidal Wave_36.jpg,Tropical Tidal Wave,36,Nintendo Black Star Promos
dataset/Kalos Starter Set/Kalos Starter Set_Pokémon Catcher_36.jpg,Pokémon Catcher,36,Kalos Starter Set
dataset/Wizards Black Star Promos/Wizards Black Star Promos_Lucky Stadium_41.jpg,Lucky Stadium,41,Wizards Black Star Promos
dataset/Wizards Black Star Promos/Wizards Black Star Promos_Pokémon Center_40.jpg,Pokémon Center,40,Wizards Black Star Promos
dataset/Wizards Black Star Promos/Wizards Black Star Promos_Computer Error_16.jpg,Computer Error,16,Wizards Black Star Promos
dataset/Kalos Starter Set/Kalos Starter Set_Poké Ball_35.jpg,Poké Ball,35,Kalos Starter Set
dataset/Kalos Starter Set/Kalos Starter Set_Potion_37.jpg,Potion,37,Kalos Starter Set
dataset/XY Black Star Promos/XY Black Star Promos_Trevor_XY33.jpg,Trevor,XY33,XY Black Star Promos
dataset/Gym Heroes/Gym Heroes_The Rocket's Trap_19.jpg,The Rocket's Trap,19,Gym Heroes
dataset/Kalos Starter Set/Kalos Starter Set_Switch_38.jpg,Switch,38,Kalos Starter Set
dataset/Kalos Starter Set/Kalos Starter Set_Tierno_39.jpg,Tierno,39,Kalos Starter Set
dataset/DP Black Star Promos/DP Black Star Promos_Tropical Wind_DP48.jpg,Tropical Wind,DP48,DP Black Star Promos
dataset/Hidden Fates/Hidden Fates_Bill's Analysis_51.jpg,Bill's Analysis,51,Hidden Fates
dataset/Champion's Path/Champion's Path_Bede_50.jpg,Bede,50,Champion's Path
dataset/Champion's Path/Champion's Path_Full Heal_51.jpg,Full Heal,51,Champion's Path
dataset/Champion's Path/Champion's Path_Great Ball_52.jpg,Great Ball,52,Champion's Path
dataset/Hidden Fates/Hidden Fates_Blaine's Last Stand_52.jpg,Blaine's Last Stand,52,Hidden Fates
dataset/BW Black Star Promos/BW Black Star Promos_Battle City_BW39.jpg,Battle City,BW39,BW Black Star Promos
dataset/Champion's Path/Champion's Path_Kabu_55.jpg,Kabu,55,Champion's Path
dataset/Champion's Path/Champion's Path_Hop_53.jpg,Hop,53,Champion's Path
dataset/Hidden Fates/Hidden Fates_Brock's Pewter City Gym_54.jpg,Brock's Pewter City Gym,54,Hidden Fates
dataset/DP Black Star Promos/DP Black Star Promos_Beginning Door_DP54.jpg,Beginning Door,DP54,DP Black Star Promos
dataset/Hidden Fates/Hidden Fates_Erika's Hospitality_56.jpg,Erika's Hospitality,56,Hidden Fates
dataset/Champion's Path/Champion's Path_Poké Ball_59.jpg,Poké Ball,59,Champion's Path
dataset/Champion's Path/Champion's Path_Marnie_56.jpg,Marnie,56,Champion's Path
dataset/Champion's Path/Champion's Path_Hyper Potion_54.jpg,Hyper Potion,54,Champion's Path
dataset/Hidden Fates/Hidden Fates_Brock's Grit_53.jpg,Brock's Grit,53,Hidden Fates
dataset/DP Black Star Promos/DP Black Star Promos_Ultimate Zone_DP55.jpg,Ultimate Zone,DP55,DP Black Star Promos
dataset/Champion's Path/Champion's Path_Milo_57.jpg,Milo,57,Champion's Path
dataset/Fossil/Fossil_Mr. Fuji_58.jpg,Mr. Fuji,58,Fossil
dataset/Champion's Path/Champion's Path_Piers_58.jpg,Piers,58,Champion's Path
dataset/Hidden Fates/Hidden Fates_Brock's Training_55.jpg,Brock's Training,55,Hidden Fates
dataset/Fossil/Fossil_Mysterious Fossil_62.jpg,Mysterious Fossil,62,Fossil
dataset/Champion's Path/Champion's Path_Potion_61.jpg,Potion,61,Champion's Path
dataset/Hidden Fates/Hidden Fates_Giovanni's Exile_57.jpg,Giovanni's Exile,57,Hidden Fates
dataset/Hidden Fates/Hidden Fates_Jessie & James_58.jpg,Jessie & James,58,Hidden Fates
dataset/Champion's Path/Champion's Path_Professor's Research (Professor Magnolia)_62.jpg,Professor's Research (Professor Magnolia),62,Champion's Path
dataset/Fossil/Fossil_Gambler_60.jpg,Gambler,60,Fossil
dataset/Fossil/Fossil_Energy Search_59.jpg,Energy Search,59,Fossil
dataset/Double Crisis/Double Crisis_Double Magma Energy_34.jpg,Double Magma Energy,34,Double Crisis
dataset/Champion's Path/Champion's Path_Pokémon Center Lady_60.jpg,Pokémon Center Lady,60,Champion's Path
dataset/Fossil/Fossil_Recycle_61.jpg,Recycle,61,Fossil
dataset/Champion's Path/Champion's Path_Rotom Bike_63.jpg,Rotom Bike,63,Champion's Path
dataset/Champion's Path/Champion's Path_Rotom Phone_64.jpg,Rotom Phone,64,Champion's Path
dataset/Dragon Majesty/Dragon Majesty_Dragon Talon_59.jpg,Dragon Talon,59,Dragon Majesty
dataset/Dragon Majesty/Dragon Majesty_Blaine's Last Stand_58.jpg,Blaine's Last Stand,58,Dragon Majesty
dataset/Hidden Fates/Hidden Fates_Lt. Surge's Strategy_60.jpg,Lt. Surge's Strategy,60,Hidden Fates
dataset/Hidden Fates/Hidden Fates_Misty's Determination_62.jpg,Misty's Determination,62,Hidden Fates
dataset/Wizards Black Star Promos/Wizards Black Star Promos_Pokémon Tower_42.jpg,Pokémon Tower,42,Wizards Black Star Promos
dataset/Champion's Path/Champion's Path_Suspicious Food Tin_66.jpg,Suspicious Food Tin,66,Champion's Path
dataset/Dragon Majesty/Dragon Majesty_Fiery Flint_60a.jpg,Fiery Flint,60a,Dragon Majesty
